,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
9,1418,0.916,1.5094163417816162,8.0,1.0,13.0,41.0,47.0,0.6792452830188679,0.2358490566037736,0.0377358490566037,0.0094339622641509,0.0188679245283018,0.0188679245283018,140,5,2,0,0.03400000000000003,0.025156939029693605,0.9956521739130435
17,2615,0.92,2.496384382247925,8.0,0.0,13.0,37.0,51.0,0.8018867924528302,0.0566037735849056,0.1132075471698113,0.0094339622641509,0.0094339622641509,0.0094339622641509,140,5,2,0,0.0040000000000000036,0.041606406370798744,1.0
0,100,0.71,0.2177886962890625,32.0,0.0,8.0,39.0,10.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,2,0,0.0,0.0036298116048177082,0.7717391304347825
1,245,0.804,0.4848499298095703,16.0,0.0,13.0,33.0,16.0,0.2095238095238095,0.2095238095238095,0.0952380952380952,0.1809523809523809,0.219047619047619,0.0857142857142857,140,5,2,1,0.018000000000000016,0.008080832163492839,0.8739130434782609
2,396,0.834,0.5998005867004395,0.0,0.0,13.0,42.0,44.0,0.238095238095238,0.2476190476190476,0.0952380952380952,0.2571428571428571,0.1333333333333333,0.0285714285714285,140,5,2,1,0.029999999999999916,0.009996676445007324,0.9065217391304347
4,691,0.844,0.9755842685699464,0.0,1.0,14.0,20.0,26.0,0.3238095238095238,0.3047619047619048,0.0857142857142857,0.1238095238095238,0.1238095238095238,0.0380952380952381,140,5,2,1,0.010000000000000009,0.016259737809499106,0.917391304347826
5,841,0.87,1.1150016784667969,0.0,0.0,14.0,37.0,47.0,0.3238095238095238,0.3047619047619048,0.0857142857142857,0.1238095238095238,0.1238095238095238,0.0380952380952381,140,5,2,1,0.026000000000000023,0.018583361307779947,0.9456521739130435
6,992,0.874,1.251201629638672,0.0,1.0,13.0,21.0,51.0,0.4857142857142857,0.3523809523809524,0.0571428571428571,0.0380952380952381,0.0476190476190476,0.019047619047619,140,5,2,1,0.0040000000000000036,0.020853360493977867,0.95
9,1441,0.884,1.675208330154419,2.0,1.0,13.0,21.0,51.0,0.5471698113207547,0.320754716981132,0.0377358490566037,0.0188679245283018,0.0283018867924528,0.0471698113207547,140,5,2,1,0.010000000000000009,0.027920138835906983,0.9608695652173913
12,1891,0.886,2.0842556953430176,0.0,0.0,18.0,38.0,47.0,0.6886792452830188,0.2264150943396226,0.0188679245283018,0.0094339622641509,0.0188679245283018,0.0377358490566037,140,5,2,1,0.0020000000000000018,0.034737594922383624,0.9630434782608696
15,2337,0.906,2.403503179550171,8.0,1.0,13.0,23.0,51.0,0.7830188679245284,0.160377358490566,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0283018867924528,140,5,2,1,0.020000000000000018,0.04005838632583618,0.9847826086956522
17,2636,0.914,2.6375861167907715,8.0,1.0,13.0,22.0,47.0,0.8490566037735849,0.1132075471698113,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,140,5,2,1,0.008000000000000007,0.043959768613179524,0.9934782608695653
